Country,Year,Sex,Age,suicides_no,population,suicides/100k pop,Country-year,gdp_per_capita ($),Generation
0,11.0,0.0,5.0,2,41200,4.85,7.0,1127,1
0,11.0,0.0,1.0,10,267900,3.73,7.0,1127,2
0,11.0,1.0,2.0,12,379600,3.16,7.0,1127,0
0,11.0,0.0,2.0,9,362000,2.49,7.0,1127,0
0,11.0,1.0,4.0,3,179900,1.67,7.0,1127,5
0,11.0,0.0,4.0,1,183100,0.55,7.0,1127,5
0,11.0,1.0,3.0,2,380400,0.53,7.0,1127,4
0,11.0,0.0,3.0,1,354100,0.28,7.0,1127,4
0,12.0,1.0,1.0,36,236000,15.25,8.0,793,2
0,12.0,1.0,0.0,33,244400,13.5,8.0,793,2
0,12.0,1.0,5.0,3,25400,11.81,8.0,793,1
0,12.0,1.0,2.0,30,380800,7.88,8.0,793,0
0,12.0,0.0,0.0,21,294000,7.14,8.0,793,2
0,12.0,1.0,4.0,12,180300,6.66,8.0,793,5
0,12.0,0.0,1.0,16,273900,5.84,8.0,793,2
0,12.0,0.0,5.0,2,42100,4.75,8.0,793,1
0,12.0,0.0,2.0,7,370100,1.89,8.0,793,0
0,12.0,0.0,3.0,6,361800,1.66,8.0,793,4
0,12.0,1.0,3.0,4,381500,1.05,8.0,793,4
0,12.0,0.0,4.0,0,187000,0.0,8.0,793,5
0,13.0,1.0,5.0,3,25800,11.63,9.0,899,1
0,13.0,1.0,0.0,27,248800,10.85,9.0,899,2
0,13.0,0.0,0.0,32,295600,10.83,9.0,899,2
0,13.0,1.0,1.0,26,240400,10.82,9.0,899,2
0,13.0,1.0,2.0,29,388200,7.47,9.0,899,0
0,13.0,1.0,4.0,9,183800,4.9,9.0,899,5
0,13.0,0.0,1.0,10,275300,3.63,9.0,899,2
0,13.0,0.0,4.0,6,188200,3.19,9.0,899,5
0,13.0,0.0,2.0,9,372100,2.42,9.0,899,0
0,13.0,1.0,3.0,2,388400,0.51,9.0,899,4
0,13.0,0.0,3.0,1,363800,0.27,9.0,899,4
0,13.0,0.0,5.0,0,42300,0.0,9.0,899,1
0,14.0,1.0,5.0,3,25900,11.58,10.0,1127,1
0,14.0,1.0,0.0,24,250600,9.58,10.0,1127,2
0,14.0,0.0,5.0,4,42400,9.43,10.0,1127,1
0,14.0,1.0,2.0,31,391100,7.93,10.0,1127,0
0,14.0,1.0,1.0,19,242300,7.84,10.0,1127,2
0,14.0,1.0,4.0,14,185200,7.56,10.0,1127,5
0,14.0,0.0,0.0,19,296800,6.4,10.0,1127,2
0,14.0,0.0,1.0,13,276500,4.7,10.0,1127,2
0,14.0,0.0,4.0,6,188800,3.18,10.0,1127,5
0,14.0,0.0,2.0,5,373600,1.34,10.0,1127,0
0,14.0,0.0,3.0,1,365200,0.27,10.0,1127,4
